,Correlation,p-value,L1 Loss
ee12978d4a930aaa024f707ed5504b41,0.365,0.0,1.18
a819ca66ab836288010f3a020ba91a38,0.459,0.0,1.22
ea88652d6bc69841abdb46333114b823,0.608,0.0,0.77
984f808d71585c3227ab1545a0da68e1,0.408,0.0,0.83
fa5471a81a08012aae286074cb7f97d4,0.645,0.0,0.78
20efa303a8b78d7d58d2ee3b9ef6d479,0.57,0.0,1.03
50357485df2ba5f320b135d93b772df1,0.457,0.0,1.09
870271a590c11b2cb6b8876b6667d58f,0.455,0.0,0.67
1ffedb9c16991a48f8260b8b6d23d212,0.729,0.0,0.82
e2aafe38cd14b925f796e7bff469cebd,0.395,0.0,0.93
df373e436c7bd58a25c0f057a491136a,0.526,0.0,1.26
4dbeca9e21d9e3313b65a66cc8bfdf74,0.522,0.0,1.04
0426e6ca3db7b653fc3c9d6efabdc6e6,0.69,0.0,0.7
b54a8ac89ceea109b0956d2661c9195f,0.379,0.0,0.81
798d45fc8a89ba0e63b7cc3ccb8f26dc,0.421,0.0,0.88
9ad6de02e79259750991f95e1bc06672,0.499,0.0,0.87
0f1a2128b1517c17682ad786dc4df4f0,0.612,0.0,0.83
a5f635ebcdc9cb7fbe2b48fb954f6b82,0.486,0.0,0.8
40d93c4bb093bec014e2d0c14290cef9,0.426,0.0,0.77
1d7ae03893be1fface48a06a44d39d3c,0.2,0.046,1.18
f356af98cbd929d5ece697973786fecb,0.589,0.0,0.91
b3c4cbf306c3e7804e7c939916951069,0.549,0.0,0.49
3c557c348f23de487b07d6c36c3a2dfe,0.576,0.0,0.85
ef14b44d9c766159d96e3bf320e75c9e,0.427,0.0,0.85
da373fd56acfa253376f290182088782,0.258,0.009,1.14
9435cc7d86fce57a3b78c40bcdd825cb,0.565,0.0,0.8
85f83e56b4b7583b7ae2e0606f6ad427,0.56,0.0,0.81
09db21e1bf33126489315f03ef396199,0.435,0.0,1.27
5547f125f9970a7f74c3c324de32603d,0.401,0.0,1.04
f2ec52f829ed860eab080b51843df3df,0.412,0.0,0.84
2f8b2c45240876273121d77072b5c17b,0.557,0.0,0.73
d982ea25625ffd70b4d26bc372310ecd,0.461,0.0,0.99
83a7664f9b0150eea7974aac7a97b2fa,0.293,0.003,1.14
b41fb799a6a8e10599d6c4f89b3b4511,0.465,0.0,1.01
862c1403706f38f8a38872551b12e07a,0.635,0.0,0.76
2d3875c53a90450717438f5013ea5ef4,0.36,0.0,1.16
3e17d2b2646c71ebe8a74a76f74d9c66,0.623,0.0,0.76
4e4d57167780c2bf3a091ac65247988b,0.253,0.011,0.92
0c05beeb1382264cf0084c43204e59e2,0.275,0.006,0.76
7da9f5948eae6aae27d212be78d02b3d,0.711,0.0,0.9
061473ac666edaaf1a899092f84d5f12,0.575,0.0,0.97
6156f87bfb0fe107bc91574f8691baca,0.294,0.003,0.92
0f7eb0250de238ba3cc50f62ff117bcb,0.692,0.0,0.78
1873960b16ce6d390a72e721485fdc43,0.617,0.0,0.59
3e486d201e8cd180c2a9891b771cb729,0.563,0.0,0.8
d0bc43fddf1991a997b5585c59183529,0.562,0.0,0.97
3d353968049154fada47e2399783f4c2,0.365,0.0,0.82
3c7b0d0ade6083f7d6b57a7cffe5625b,0.437,0.0,0.72
16c2499730334ff99163e7c6a7083ae2,0.629,0.0,0.87
