Correlation,p-value,percentile,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8
0.19767,0.178068,0.2372057393712619,4.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,5.0
0.211668,0.14867,0.25413953625408797,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
0.225043,0.124086,0.27108806458265816,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0
0.237959,0.103385,0.2880365929112283,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,4.0,1.0,3.0,4.0,4.0,5.0,2.0,1.0,5.0,1.0,4.0,2.0,3.0,4.0,5.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0
0.250747,0.085612,0.3049851212397985,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0
0.262788,0.07115,0.3219410152912407,5.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0
0.274879,0.058648,0.3389042750655549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0
0.286089,0.048695,0.35584543767125304,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0
0.296848,0.040477,0.3727866002769512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
0.307519,0.033485,0.38974249432839336,5.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0
